range,surface_offset_mm,z_shift_mm,piece,rmse_mm,mae_mm,max_error_mm,points,winner
full,0.025,0.2999999999999999,Pawn,1.1738171873578493,0.9820181117077978,1.8874680291237773,236,0
full,0.025,0.2999999999999999,Bishop,0.39586638011962966,0.36431452367599915,0.9377254139678168,233,1
full,0.025,0.2999999999999999,Queen,0.5331973685589434,0.4626490107967215,1.424249999999999,236,0
full,0.05,-0.3,Pawn,1.5294623457091772,1.311242324251519,2.2116598613033993,232,0
full,0.05,-0.3,Bishop,0.24794274040368489,0.17613127814069635,1.3022483897085646,232,1
full,0.05,-0.3,Queen,0.27095282849920876,0.22495426555681922,1.2529999999999966,232,0
full,0.05,-0.25,Pawn,1.501890045474048,1.286095424482341,2.1685510536327026,233,0
full,0.05,-0.25,Bishop,0.23630752387895745,0.17636988835738768,1.4325848082566548,232,1
full,0.05,-0.25,Queen,0.27524353372192595,0.2399119465399803,1.1387130036794346,232,0
full,0.05,-0.2,Pawn,1.4727070839824457,1.257560145147214,2.1416598613033955,233,0
full,0.05,-0.2,Bishop,0.22508146304192778,0.18150726288437244,1.179248389708567,233,1
full,0.05,-0.2,Queen,0.28311544919379933,0.25476246356595045,1.070999999999998,233,0
full,0.05,-0.15000000000000002,Pawn,1.445161408357398,1.232464837198228,2.098551053632699,234,0
full,0.05,-0.15000000000000002,Bishop,0.2236053406873602,0.1881920287621059,1.2863348082566528,233,1
full,0.05,-0.15000000000000002,Queen,0.295635648574754,0.2716254756832426,0.956713003679436,233,0
full,0.05,-0.10000000000000003,Pawn,1.4159348522374753,1.204051503501286,2.0726598613034,234,0
full,0.05,-0.10000000000000003,Bishop,0.22500783370408783,0.2001972001025642,1.0329983897085597,234,1
full,0.05,-0.10000000000000003,Queen,0.3115909911280828,0.2879686068840442,0.8230000000000004,234,0
full,0.05,-0.050000000000000044,Pawn,1.3884508746840831,1.1791034464016406,2.0358850000000004,235,0
full,0.05,-0.050000000000000044,Bishop,0.23421627209773818,0.21275437208402137,1.1043348082566595,234,1
full,0.05,-0.050000000000000044,Queen,0.3309591542216648,0.304759554846989,0.8230000000000004,234,0
full,0.05,-5.551115123125783e-17,Pawn,1.3592158747468577,1.1508110205076636,2.0254680291237737,235,0
full,0.05,-5.551115123125783e-17,Bishop,0.2450440033268254,0.2292672729375349,0.8509983897085611,235,1
full,0.05,-5.551115123125783e-17,Queen,0.3519094409432981,0.3210793787696442,0.9087543790720609,235,0
full,0.05,0.04999999999999993,Pawn,1.331826648186966,1.1260078301033278,2.0008850000000002,236,0
full,0.05,0.04999999999999993,Bishop,0.26169870003571155,0.2458188423148062,0.8563348082566566,235,1
full,0.05,0.04999999999999993,Queen,0.3758981599260354,0.3377988758901938,1.070999999999998,235,0
full,0.05,0.09999999999999992,Pawn,1.3027035709386612,1.0978352873699189,1.9784680291237766,236,0
full,0.05,0.09999999999999992,Bishop,0.27683486061804646,0.26084477462588146,0.6434754139678116,235,1
full,0.05,0.09999999999999992,Queen,0.4010927291519435,0.3554821911447944,1.0907543790720595,236,0
full,0.05,0.1499999999999999,Pawn,1.274197107236673,1.0711132161608405,1.9608849999999975,236,0
full,0.05,0.1499999999999999,Bishop,0.2969621605819919,0.27820889034792956,0.6815709999999964,235,1
full,0.05,0.1499999999999999,Queen,0.4281491721160003,0.37480103672836357,1.2529999999999966,236,0
full,0.05,0.1999999999999999,Pawn,1.2453416757102551,1.0431199439614323,1.9244680291237746,236,0
full,0.05,0.1999999999999999,Bishop,0.3193781982926279,0.2956434744892748,0.7897254139678136,234,1
full,0.05,0.1999999999999999,Queen,0.4557996389602222,0.3954928439500518,1.2529999999999966,236,0
full,0.05,0.24999999999999983,Pawn,1.2169015135155181,1.0162579883247504,1.9138850000000005,236,0
full,0.05,0.24999999999999983,Bishop,0.34644909577568256,0.32023524828227834,0.8278209999999984,234,1
full,0.05,0.24999999999999983,Queen,0.4841527155307101,0.41705453374319396,1.3992499999999986,236,0
full,0.05,0.2999999999999999,Pawn,1.1880886421164731,0.9881621795044081,1.862468029123777,236,0
full,0.05,0.2999999999999999,Bishop,0.37407543587412173,0.34141754179008843,0.9127254139678165,233,1
full,0.05,0.2999999999999999,Queen,0.5125045536932974,0.43934392605095857,1.3992499999999986,236,0
full,0.07500000000000001,-0.3,Pawn,1.5446335476639064,1.3198422919686883,2.236659861303398,232,0
full,0.07500000000000001,-0.3,Bishop,0.23662371168407595,0.16529793998850456,1.277248389708566,232,1
full,0.07500000000000001,-0.3,Queen,0.25093315742148986,0.2004444105512038,1.227999999999998,232,0
full,0.07500000000000001,-0.25,Pawn,1.5170487279099556,1.294357227057448,2.193551053632701,233,0
full,0.07500000000000001,-0.25,Bishop,0.22255444199920246,0.15930369764697144,1.4075848082566562,232,1
full,0.07500000000000001,-0.25,Queen,0.25389807443502227,0.21512746378136088,1.113713003679436,232,0
full,0.07500000000000001,-0.2,Pawn,1.4878150907851906,1.2658013147196745,2.166659861303394,233,0
full,0.07500000000000001,-0.2,Bishop,0.20854353234611758,0.16223330285978138,1.1542483897085685,233,1
full,0.07500000000000001,-0.2,Queen,0.26084714756713345,0.2297624635659517,1.0459999999999994,233,0
full,0.07500000000000001,-0.15000000000000002,Pawn,1.4602557956624391,1.2404668115572024,2.1235510536326974,234,0
full,0.07500000000000001,-0.15000000000000002,Bishop,0.20495289333975297,0.1669818297861586,1.2613348082566542,233,1
full,0.07500000000000001,-0.15000000000000002,Queen,0.2728445764974154,0.24662547568324383,0.9317130036794374,233,0
full,0.07500000000000001,-0.10000000000000003,Pawn,1.4309772460608354,1.212032933032839,2.0976598613033985,234,0
